epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.4950906622757653,0.555929816516471,0.9712900820283371,0.9717880289744567,0.9988244514106583,0.98512077294686,0.9491525423728814,0.4307692307692308,0.5925925925925926,0.7888566827697263,0.9660944256515376,0.9631571015191704,0.7932297079588478,1.7775255391600454e-05,2761.47265625,230.87052649999896,0.5925925925925926
2,0.2270402056640371,0.20575416846882685,0.9839671886651753,0.9909980430528376,0.9921630094043887,0.9915801840610926,0.84251968503937,0.823076923076923,0.8326848249027238,0.9121325044819082,0.9838783210146393,0.9833011815770436,0.879281095982123,1.3331441543700342e-05,2761.47265625,230.45304360000046,0.8326848249027238
3,0.09827453891117016,0.2291428372575735,0.9895600298284862,0.9910505836575876,0.9980407523510971,0.9945333853963295,0.9553571428571429,0.823076923076923,0.8842975206611571,0.9394154530287433,0.9891901108193077,0.9888669520135038,0.9066074270574839,8.887627695800227e-06,2761.47265625,229.5685080000003,0.8842975206611571
4,0.0470683601067179,0.2857710855019139,0.988441461595824,0.9910401246591352,0.9968652037617555,0.9939441297128345,0.9304347826086956,0.823076923076923,0.8734693877551021,0.9337067587339682,0.9881045635478439,0.9872633831685556,0.8994564046031794,4.443813847900114e-06,2761.47265625,229.71783499999947,0.8842975206611571
5,0.015542378703985116,0.33210945146133564,0.9876957494407159,0.9910331384015595,0.9960815047021944,0.9935509087355873,0.9145299145299145,0.823076923076923,0.8663967611336032,0.9299738349345952,0.9873875831620385,0.9860154931275622,0.8971967294140255,0.0,2761.47265625,229.60545320000165,0.8842975206611571
