epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.19210354397734816,0.09811533096782322,0.9811320754716981,0.9955456570155902,0.9845814977973568,0.9900332225913622,0.75,0.9130434782608695,0.8235294117647058,0.906781317178034,0.9820047369540181,0.9857945476600908,0.8746598510660214,1.7777777777777777e-05,2552.24169921875,652.3995334000028,0.8235294117647058
2,0.016685180503494886,0.07729912578393627,0.9888190076869322,0.9926793557833089,0.9955947136563876,0.9941348973607038,0.9076923076923077,0.855072463768116,0.8805970149253731,0.9373659561430385,0.9886603244130883,0.9787716274021581,0.9136404129264808,1.3333333333333333e-05,2556.88232421875,654.9099060000008,0.8805970149253731
3,0.00450711363675643,0.0797856909602714,0.9909154437456325,0.9926953981008035,0.9977973568281938,0.9952398388868546,0.9516129032258065,0.855072463768116,0.9007633587786259,0.9480015988327403,0.9906843691961015,0.9813147757985912,0.9025974898164841,8.888888888888888e-06,2559.28857421875,653.7211567999984,0.9007633587786259
4,0.0005364541082966085,0.08609054308363845,0.989517819706499,0.9905316824471959,0.9985315712187959,0.9945155393053017,0.9655172413793104,0.8115942028985508,0.8818897637795275,0.9382026515424147,0.9890849463554217,0.9784098406009918,0.9146690582459618,4.444444444444444e-06,2552.11669921875,655.7310872999988,0.9007633587786259
5,0.0003273591508670729,0.0855066699688661,0.9916142557651991,0.9927007299270073,0.9985315712187959,0.9956076134699854,0.9672131147540983,0.855072463768116,0.9076923076923077,0.9516499605811466,0.9913685106756738,0.9760529059992766,0.9153839421756848,0.0,2564.42919921875,654.9950301000026,0.9076923076923077
