split,bert_pr_auc,bert_roc_auc,ensemble_risk_score_pr_auc,ensemble_risk_score_roc_auc,gate_triggered,risk_score_from_bert,risk_score_from_lr_gate
validation,0.8560772660930918,0.9754623422503138,0.859648011772272,0.9756113132860882,1,1430,1
test,0.9404939109364651,0.9931079173595554,0.9478307877799469,0.9932913665093195,3,3573,3
