rank_test_score,mean_test_score,std_test_score,param_tfidf__ngram_range,param_model__C,param_model__class_weight,mean_fit_time
1,0.8503878034820485,0.01721213530196097,"(1, 2)",1.0,balanced,4.293059428532918
2,0.8364860994663283,0.021705229382434844,"(1, 2)",0.5,balanced,4.295401732126872
3,0.8295315807985869,0.010100051820627941,"(1, 1)",1.0,balanced,1.4929796854654949
4,0.8195233859146374,0.03263527245422299,"(1, 2)",1.0,,4.296796719233195
5,0.8137469700389314,0.013900404251628647,"(1, 1)",0.5,balanced,1.5156267484029133
6,0.7956716555687473,0.04008576917640594,"(1, 2)",0.5,,4.242824157079061
7,0.7928312529741267,0.026071793811039575,"(1, 1)",1.0,,1.4845263163248699
8,0.7588321275510216,0.03544956546949569,"(1, 1)",0.5,,1.4811505476633708
