sprint,model,fraud_f1,fraud_recall,fraud_precision
sprint2,SVM,0.7860696517412935,0.7383177570093458,0.8404255319148937
sprint1,LR,0.7596153846153846,0.7383177570093458,0.7821782178217822
sprint1,DNN,0.7567567567567568,0.6542056074766355,0.8974358974358975
sprint2,XGBOOST,0.7486631016042781,0.6542056074766355,0.875
sprint2,Bi-lstm,0.6836734693877551,0.6261682242990654,0.7528089887640449
sprint2,RNN,0.35502958579881655,0.2803738317757009,0.4838709677419355
