epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.48409935057760795,0.2957016081367963,0.9565584141712358,0.9851818590031433,0.9690812720848057,0.9770652415942997,0.5138888888888888,0.6915887850467289,0.5896414342629482,0.7833533379286239,0.9595813329547154,0.9467632343713879,0.6508587391502354,1.7777777777777777e-05,2761.47265625,207.74237159999757,0.5896414342629482
2,0.2710228982302286,0.2749476518560882,0.9797553774778575,0.9846894138232721,0.9942579505300353,0.9894505494505494,0.8470588235294118,0.6728971962616822,0.75,0.8697252747252747,0.9786444723559865,0.9595848056537102,0.8000070709838212,1.3333333333333333e-05,2761.47265625,206.86605420000706,0.75
3,0.10327960292265664,0.3017939659819591,0.9839730071699705,0.9881578947368421,0.9951413427561837,0.991637323943662,0.8791208791208791,0.7476635514018691,0.8080808080808081,0.899859066012235,0.9833536684407833,0.9607757339585878,0.8470157733510822,8.888888888888888e-06,2761.47265625,206.64538779999566,0.8080808080808081
4,0.022840692591182623,0.3011356862311944,0.9810206663854913,0.9898454746136865,0.9902826855123675,0.9900640317950983,0.7924528301886793,0.7850467289719626,0.7887323943661971,0.8893982130806477,0.9809782092708923,0.9779667943594992,0.826053885467152,4.444444444444444e-06,2761.47265625,205.58886930000153,0.8080808080808081
5,0.010953794472485148,0.33553662740638823,0.9839730071699705,0.9885864793678666,0.9946996466431095,0.9916336415675914,0.8709677419354839,0.7570093457943925,0.81,0.9008168207837957,0.983436762762137,0.9768150820646609,0.8351283659342972,0.0,2761.47265625,207.26270070000464,0.81
