epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.49423810207982133,0.26947145557090413,0.9725854070012653,0.9854304635761589,0.9858657243816255,0.985648045926253,0.6981132075471698,0.6915887850467289,0.6948356807511737,0.8402418633387134,0.9725240800579555,0.9619171262507844,0.7873254973409999,1.7777777777777777e-05,2761.47265625,204.27623159999712,0.6948356807511737
2,0.23415169954282095,0.2616672885997593,0.981864192323914,0.9864213753832677,0.9946996466431095,0.9905432153067957,0.8636363636363636,0.7102803738317757,0.7794871794871795,0.8850151973969875,0.98101854393071,0.9697892242660415,0.8351067029779425,1.3333333333333333e-05,2761.47265625,203.25454700000046,0.7794871794871795
3,0.09896615273517276,0.20259309748878926,0.9801771404470687,0.9911386796632699,0.9880742049469965,0.9896040698960407,0.7631578947368421,0.8130841121495327,0.7873303167420814,0.8884671933190611,0.9804757309726019,0.9812609392028004,0.8579547293905647,8.888888888888888e-06,2761.47265625,202.62338660000023,0.7873303167420814
4,0.04208686515411726,0.3298864106763109,0.9831294812315479,0.9847428073234524,0.997791519434629,0.991224221149627,0.935064935064935,0.6728971962616822,0.782608695652174,0.8869164584009005,0.981809686679687,0.977056570126482,0.8805584865045537,4.444444444444444e-06,2761.47265625,201.7077950999992,0.7873303167420814
5,0.012596691390450686,0.2783950930298433,0.9869253479544496,0.9886214442013129,0.997791519434629,0.993185315453946,0.9418604651162791,0.7570093457943925,0.8393782383419689,0.9162817768979574,0.9862442115944008,0.9769203460916085,0.8565460717916917,0.0,2761.47265625,201.65731649999725,0.8393782383419689
