epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.3370949675934939,0.17932878981484882,0.983927323549965,0.9883296863603209,0.9948604992657856,0.9915843395536041,0.8833333333333333,0.7681159420289855,0.8217054263565892,0.9066448829550966,0.9833931131311066,0.9631881929813361,0.8783250032879857,1.7775324316864476e-05,2542.625,350.4576988000008,0.8217054263565892
2,0.1449046476325541,0.1303415197330168,0.989517819706499,0.9919649379108838,0.9970631424375918,0.9945075064079092,0.9354838709677419,0.8405797101449275,0.8854961832061069,0.940001844807008,0.9892511952262709,0.9861456936729873,0.9126376453792215,1.3331493237648358e-05,2556.7890625,468.54209940000146,0.8854961832061069
3,0.06374617682152205,0.19036202459266363,0.9874213836477987,0.9912280701754386,0.9955947136563876,0.9934065934065934,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.9285214785214786,0.9871493286587625,0.9759624592989848,0.8787369939880615,8.887662158432238e-06,2555.15625,357.9303454000001,0.8854961832061069
4,0.011890280163816278,0.16990236015217255,0.9888190076869322,0.9934017595307918,0.9948604992657856,0.9941305942773294,0.8955223880597015,0.8695652173913043,0.8823529411764706,0.9382417677268999,0.9887408961194265,0.9756272744684927,0.8708687475267681,4.443831079216119e-06,2542.212890625,356.7108926000001,0.8854961832061069
