epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.4570603571756308,0.5928414868254952,0.9742724588781105,0.9741713301764959,0.9995583038869258,0.986701547852627,0.9791666666666666,0.4392523364485981,0.6064516129032258,0.7965765803779263,0.969541386300714,0.9462431062382352,0.737303055919899,1.7777777777777777e-05,2761.47265625,205.63517319999664,0.6064516129032258
2,0.25670626995816886,0.256667349339094,0.9805989034162801,0.9894086496028244,0.9902826855123675,0.9898454746136865,0.7904761904761904,0.7757009345794392,0.7830188679245284,0.8864321712691074,0.980511671612531,0.9715188567088273,0.861684118073968,1.3333333333333333e-05,2761.47265625,206.70965579999756,0.7830188679245284
3,0.08471642964248352,0.2667243965210365,0.9814424293547026,0.9911504424778761,0.9893992932862191,0.9902740937223696,0.7837837837837838,0.8130841121495327,0.7981651376146789,0.8942196156685243,0.9816044782421829,0.9631802945741553,0.872160142979121,8.888888888888888e-06,2761.47265625,206.48857699999644,0.7981651376146789
4,0.025134237989204007,0.505534490721512,0.9881906368620835,0.9886363636363636,0.9991166077738516,0.9938488576449912,0.9759036144578314,0.7570093457943925,0.8526315789473684,0.9232402182961799,0.987475914236874,0.9656859912156137,0.8625985505921473,4.444444444444444e-06,2761.47265625,206.48446590000094,0.8526315789473684
5,0.011565827168888484,0.46002964962167575,0.9877688738928722,0.9903466432645898,0.9969081272084805,0.9936165529385869,0.9239130434782609,0.794392523364486,0.8542713567839196,0.9239439548612532,0.9873280940653058,0.9641359268187972,0.8573740242867453,0.0,2761.47265625,206.86748820000503,0.8542713567839196
