threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.8431372549019608,0.8037383177570093,0.8229665071770335,16,21,2248,86,0.9074020711486315,0.9843947701391818
0.1,0.8762886597938144,0.794392523364486,0.8333333333333334,12,22,2252,85,0.9129205229910387,0.9856600590468156
0.15,0.8947368421052632,0.794392523364486,0.8415841584158416,10,22,2254,85,0.9172678501330309,0.9865035849852383
0.2,0.9042553191489362,0.794392523364486,0.845771144278607,9,22,2255,85,0.9194722270611269,0.9869253479544496
0.25,0.9139784946236559,0.794392523364486,0.85,8,22,2256,85,0.9216974900924703,0.9873471109236609
0.3,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
0.35,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
0.4,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
0.45,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
0.5,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
0.55,0.9230769230769231,0.7850467289719626,0.8484848484848485,7,23,2257,84,0.9209413679043961,0.9873471109236609
0.6,0.9230769230769231,0.7850467289719626,0.8484848484848485,7,23,2257,84,0.9209413679043961,0.9873471109236609
0.65,0.9230769230769231,0.7850467289719626,0.8484848484848485,7,23,2257,84,0.9209413679043961,0.9873471109236609
0.7,0.9230769230769231,0.7850467289719626,0.8484848484848485,7,23,2257,84,0.9209413679043961,0.9873471109236609
0.75,0.9230769230769231,0.7850467289719626,0.8484848484848485,7,23,2257,84,0.9209413679043961,0.9873471109236609
0.8,0.9230769230769231,0.7850467289719626,0.8484848484848485,7,23,2257,84,0.9209413679043961,0.9873471109236609
0.85,0.9333333333333333,0.7850467289719626,0.8527918781725888,6,23,2258,84,0.9232056200543912,0.9877688738928722
0.9,0.9325842696629213,0.7757009345794392,0.8469387755102041,6,24,2258,83,0.9201697837075877,0.9873471109236609
0.95,0.9325842696629213,0.7757009345794392,0.8469387755102041,6,24,2258,83,0.9201697837075877,0.9873471109236609
