epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.49338481087568914,0.5345533489743435,0.9734289329396879,0.9774403470715836,0.9951413427561837,0.9862114248194354,0.8333333333333334,0.514018691588785,0.6358381502890174,0.8110247875542264,0.970399556251424,0.9322760146626596,0.6874364339701962,1.7777777777777777e-05,2761.47265625,204.15186060000087,0.6358381502890174
2,0.25727621898482606,0.33721039211826753,0.9822859552931252,0.9881370826010545,0.9933745583038869,0.9907488986784141,0.8421052631578947,0.7476635514018691,0.7920792079207921,0.8914140532996031,0.9817832061811279,0.9660471913080809,0.8371306010563444,1.3333333333333333e-05,2761.47265625,203.5052854000005,0.7920792079207921
3,0.11599863151061883,0.3479428533930527,0.9852382960776044,0.9886014905743095,0.9960247349823321,0.9922992299229924,0.9,0.7570093457943925,0.8223350253807107,0.9073171276518515,0.9846289769132818,0.9707820085201941,0.8435914813882442,8.888888888888888e-06,2761.47265625,203.97743000000082,0.8223350253807107
4,0.035425235796460945,0.33820788114560296,0.9856600590468156,0.9894644424934153,0.9955830388692579,0.992514310876266,0.8924731182795699,0.7757009345794392,0.83,0.911257155438133,0.985180261418754,0.9538984841980118,0.8478713382786252,4.444444444444444e-06,2761.47265625,203.4040354000008,0.83
5,0.010985391258427147,0.3658061299052409,0.986081822016027,0.98989898989899,0.9955830388692579,0.9927328782206563,0.8936170212765957,0.7850467289719626,0.835820895522388,0.9142768868715221,0.9856516542017972,0.9592029655559593,0.8223144838049953,0.0,2761.47265625,203.32187750000048,0.835820895522388
