epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.4623861185980205,0.3534440647580639,0.9742729306487695,0.9843932891143191,0.9886363636363636,0.9865102639296187,0.7563025210084033,0.6923076923076923,0.7228915662650602,0.8547009150973395,0.9737323255640734,0.9613123945020499,0.8093389073617626,1.7775255391600454e-05,2761.47265625,231.4547849999999,0.7228915662650602
2,0.23872136163496271,0.19026066484608842,0.9854586129753915,0.9894818854694195,0.9952978056426333,0.992381324477437,0.8956521739130435,0.7923076923076923,0.8408163265306122,0.9165988255040246,0.9850347734956746,0.9753225223052809,0.8902613824550872,1.3331441543700342e-05,2761.47265625,230.89750689999983,0.8408163265306122
3,0.10104956546928154,0.283744321122954,0.9876957494407159,0.9902685869988322,0.9968652037617555,0.9935559461042766,0.9292035398230089,0.8076923076923077,0.8641975308641975,0.928876738484237,0.987285776834623,0.9804014950566674,0.8981049078654367,8.887627695800227e-06,2761.47265625,229.9736066000005,0.8641975308641975
4,0.03378387873631734,0.3850718378316309,0.9876957494407159,0.9895064127477653,0.9976489028213166,0.9935609756097561,0.944954128440367,0.7923076923076923,0.8619246861924686,0.9277428309011124,0.987180394840089,0.9802311912225706,0.8965424150544652,4.443813847900114e-06,2761.47265625,228.74021670000002,0.8641975308641975
5,0.020621985028799698,0.3670398407437547,0.9873228933631618,0.9898832684824903,0.9968652037617555,0.9933619679812573,0.9285714285714286,0.8,0.859504132231405,0.9264330501063311,0.9868737059948738,0.9736134555100072,0.8989671719164016,0.0,2761.47265625,228.5004098999998,0.8641975308641975
