weight_svm,weight_bert,threshold,pr_auc,roc_auc,fraud_precision,fraud_recall,fraud_f1,confusion_matrix
0.30000000000000004,0.7,0.7100000000000001,0.8598437290324139,0.9553391565668241,0.9318181818181818,0.7663551401869159,0.841025641025641,"{'tn': 2258, 'fp': 6, 'fn': 25, 'tp': 82}"
0.30000000000000004,0.7,0.72,0.8598437290324139,0.9553391565668241,0.9418604651162791,0.7570093457943925,0.8393782383419689,"{'tn': 2259, 'fp': 5, 'fn': 26, 'tp': 81}"
0.30000000000000004,0.7,0.73,0.8598437290324139,0.9553391565668241,0.9418604651162791,0.7570093457943925,0.8393782383419689,"{'tn': 2259, 'fp': 5, 'fn': 26, 'tp': 81}"
0.35000000000000003,0.6499999999999999,0.67,0.8596133878392408,0.9549635084706581,0.9418604651162791,0.7570093457943925,0.8393782383419689,"{'tn': 2259, 'fp': 5, 'fn': 26, 'tp': 81}"
0.35000000000000003,0.6499999999999999,0.68,0.8596133878392408,0.9549635084706581,0.9418604651162791,0.7570093457943925,0.8393782383419689,"{'tn': 2259, 'fp': 5, 'fn': 26, 'tp': 81}"
0.4,0.6,0.64,0.85954274625519,0.9545961163766058,0.9418604651162791,0.7570093457943925,0.8393782383419689,"{'tn': 2259, 'fp': 5, 'fn': 26, 'tp': 81}"
0.55,0.44999999999999996,0.5,0.8598671880629305,0.9538241801789902,0.9120879120879121,0.7757009345794392,0.8383838383838383,"{'tn': 2256, 'fp': 8, 'fn': 24, 'tp': 83}"
0.35000000000000003,0.6499999999999999,0.66,0.8596133878392408,0.9549635084706581,0.9213483146067416,0.7663551401869159,0.8367346938775511,"{'tn': 2257, 'fp': 7, 'fn': 25, 'tp': 82}"
0.4,0.6,0.61,0.85954274625519,0.9545961163766058,0.9213483146067416,0.7663551401869159,0.8367346938775511,"{'tn': 2257, 'fp': 7, 'fn': 25, 'tp': 82}"
0.45,0.55,0.56,0.8594477149525209,0.9542452362867804,0.9213483146067416,0.7663551401869159,0.8367346938775511,"{'tn': 2257, 'fp': 7, 'fn': 25, 'tp': 82}"
0.5,0.5,0.51,0.859380558481482,0.9539769162180904,0.9213483146067416,0.7663551401869159,0.8367346938775511,"{'tn': 2257, 'fp': 7, 'fn': 25, 'tp': 82}"
0.4,0.6,0.62,0.85954274625519,0.9545961163766058,0.9310344827586207,0.7570093457943925,0.8350515463917526,"{'tn': 2258, 'fp': 6, 'fn': 26, 'tp': 81}"
0.4,0.6,0.63,0.85954274625519,0.9545961163766058,0.9310344827586207,0.7570093457943925,0.8350515463917526,"{'tn': 2258, 'fp': 6, 'fn': 26, 'tp': 81}"
0.45,0.55,0.5700000000000001,0.8594477149525209,0.9542452362867804,0.9310344827586207,0.7570093457943925,0.8350515463917526,"{'tn': 2258, 'fp': 6, 'fn': 26, 'tp': 81}"
0.45,0.55,0.5800000000000001,0.8594477149525209,0.9542452362867804,0.9310344827586207,0.7570093457943925,0.8350515463917526,"{'tn': 2258, 'fp': 6, 'fn': 26, 'tp': 81}"
0.45,0.55,0.59,0.8594477149525209,0.9542452362867804,0.9310344827586207,0.7570093457943925,0.8350515463917526,"{'tn': 2258, 'fp': 6, 'fn': 26, 'tp': 81}"
0.45,0.55,0.6,0.8594477149525209,0.9542452362867804,0.9310344827586207,0.7570093457943925,0.8350515463917526,"{'tn': 2258, 'fp': 6, 'fn': 26, 'tp': 81}"
