condition,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,fraud_precision_mean,fraud_precision_std,fraud_recall_mean,fraud_recall_std,fraud_f1_mean,fraud_f1_std,macro_f1_mean,macro_f1_std
A,0.9015661081669128,0.022137888167302656,0.981657071376899,0.007125170604549552,0.98806860551827,0.0015916291915070541,0.9205491889708967,0.027053671680798662,0.826153846153846,0.03267596373758768,0.8701752386080084,0.01842931726558319,0.9319609962421719,0.009622704747136088
B,0.8780551822312821,0.03220442108896061,0.9778785253037899,0.010857154736231453,0.9872259696458684,0.002754141277119991,0.9179057367063415,0.03139927775962994,0.7878504672897196,0.05195118545677495,0.8470339839258125,0.03560330165943436,0.9201841900888891,0.018511826863335155
C,0.8506947574708411,0.027190332052765866,0.9688813824346629,0.010219160624597056,0.9847222459850828,0.002206732322893716,0.8862529250415367,0.03149611273960489,0.7595573972844296,0.03964754613097721,0.8174080785407984,0.028423076503619485,0.9047177109121003,0.014777131013800897
