epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.45299879182777264,0.3110597273799136,0.9843400447427293,0.9853054911059551,0.9984326018808778,0.9918256130790191,0.9583333333333334,0.7076923076923077,0.8141592920353983,0.9029924525572086,0.983213897293907,0.9810133831685555,0.9035842766821329,1.7775255391600454e-05,2761.47265625,231.51769289999993,0.8141592920353983
2,0.20053698566343156,0.2056328659691644,0.9906785980611484,0.9918256130790191,0.9984326018808778,0.9951181409880883,0.9646017699115044,0.8384615384615385,0.897119341563786,0.9461187412759371,0.9903680127535024,0.9877230528092598,0.9438759035916156,1.3331441543700342e-05,2761.47265625,230.65735199999972,0.897119341563786
3,0.09134214796078374,0.13232309173647427,0.9899328859060402,0.9960707269155207,0.9933385579937304,0.9947027663331371,0.8759124087591241,0.9230769230769231,0.898876404494382,0.9467895854137596,0.9900579389509455,0.993293344586448,0.9416372828277841,8.887627695800227e-06,2761.47265625,230.40642439999965,0.898876404494382
4,0.02757740593022524,0.13437892894037196,0.9858314690529456,0.9964454976303317,0.9886363636363636,0.9925255704169945,0.8066666666666666,0.9307692307692308,0.8642857142857143,0.9284056423513545,0.9863096191503776,0.9933656860380998,0.9461267301094933,4.443813847900114e-06,2761.47265625,229.81013909999956,0.898876404494382
5,0.017254360530379646,0.13871276493132645,0.9906785980611484,0.9964636542239685,0.9937304075235109,0.995095154012164,0.8832116788321168,0.9307692307692308,0.9063670411985019,0.9507310976053329,0.9907943879175419,0.992034904750422,0.957351103020609,0.0,2761.47265625,230.28994990000047,0.9063670411985019
