threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.8652482269503546,0.9384615384615385,0.9003690036900369,19,8,2533,122,0.9475338048098723,0.9899328859060402
0.1,0.8705035971223022,0.9307692307692308,0.8996282527881041,18,9,2534,121,0.9471644698680461,0.9899328859060402
0.15,0.8705035971223022,0.9307692307692308,0.8996282527881041,18,9,2534,121,0.9471644698680461,0.9899328859060402
0.2,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.25,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.3,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.35,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.4,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.45,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.5,0.8832116788321168,0.9307692307692308,0.9063670411985019,16,9,2536,121,0.9507310976053329,0.9906785980611484
0.55,0.8897058823529411,0.9307692307692308,0.9097744360902256,15,9,2537,121,0.9525333537846185,0.9910514541387024
0.6,0.8888888888888888,0.9230769230769231,0.9056603773584906,15,10,2537,120,0.9503787276084471,0.9906785980611484
0.65,0.8888888888888888,0.9230769230769231,0.9056603773584906,15,10,2537,120,0.9503787276084471,0.9906785980611484
0.7,0.8955223880597015,0.9230769230769231,0.9090909090909091,14,10,2538,120,0.9521925133689839,0.9910514541387024
0.75,0.8955223880597015,0.9230769230769231,0.9090909090909091,14,10,2538,120,0.9521925133689839,0.9910514541387024
0.8,0.8955223880597015,0.9230769230769231,0.9090909090909091,14,10,2538,120,0.9521925133689839,0.9910514541387024
0.85,0.8955223880597015,0.9230769230769231,0.9090909090909091,14,10,2538,120,0.9521925133689839,0.9910514541387024
0.9,0.9022556390977443,0.9230769230769231,0.9125475285171103,13,10,2539,120,0.9540193043487335,0.9914243102162565
0.95,0.916030534351145,0.9230769230769231,0.9195402298850575,11,10,2541,120,0.9577125017738044,0.9921700223713646
