epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.4742573208267839,0.3639407501142982,0.970917225950783,0.9881610102604578,0.9811912225705329,0.9846637829335431,0.6756756756756757,0.7692307692307693,0.7194244604316546,0.8520441216825989,0.9718072907913934,0.9733466964070413,0.8047630977467481,1.7775255391600454e-05,2761.47265625,230.3364365999987,0.7194244604316546
2,0.18023792677300465,0.34907633952389006,0.9850857568978374,0.9883359253499222,0.9960815047021944,0.9921935987509758,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9127634660421546,0.9844934367434094,0.963146551724138,0.8737517938260451,1.3331441543700342e-05,2761.47265625,230.08840679999958,0.8333333333333334
3,0.07501982972665598,0.2892553562454677,0.9850857568978374,0.990625,0.9937304075235109,0.9921752738654147,0.8688524590163934,0.8153846153846154,0.8412698412698413,0.916722557567628,0.9848606928671207,0.9828445261634916,0.8940681160939602,8.887627695800227e-06,2761.47265625,229.23020709999946,0.8412698412698413
4,0.022828159738709452,0.37435359812951946,0.9865771812080537,0.9906396255850234,0.9952978056426333,0.9929632525410477,0.8983050847457628,0.8153846153846154,0.8548387096774194,0.9239009811092336,0.9862681777564571,0.9802432481311792,0.8924292892213779,4.443813847900114e-06,2761.47265625,229.06346259999918,0.8548387096774194
5,0.004353359270607588,0.43250041606534934,0.9862043251304996,0.9894900739587388,0.9960815047021944,0.9927748486623706,0.911504424778761,0.7923076923076923,0.8477366255144033,0.920255737088387,0.9857446588751835,0.9772440921147818,0.8875310427966968,0.0,2761.47265625,228.74775599999884,0.8548387096774194
