threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.8210526315789474,0.7289719626168224,0.7722772277227723,17,29,2285,78,0.8811559448839165,0.9809049398090494
0.1,0.8369565217391305,0.719626168224299,0.7738693467336684,15,30,2287,77,0.8820634891278214,0.9813200498132005
0.15,0.8369565217391305,0.719626168224299,0.7738693467336684,15,30,2287,77,0.8820634891278214,0.9813200498132005
0.2,0.8555555555555555,0.719626168224299,0.7817258883248731,13,30,2289,77,0.8862102715807443,0.9821502698215027
0.25,0.8651685393258427,0.719626168224299,0.7857142857142857,12,30,2290,77,0.8883136551894666,0.9825653798256538
0.3,0.8651685393258427,0.719626168224299,0.7857142857142857,12,30,2290,77,0.8883136551894666,0.9825653798256538
0.35,0.8651685393258427,0.719626168224299,0.7857142857142857,12,30,2290,77,0.8883136551894666,0.9825653798256538
0.4,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.45,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.5,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.55,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.6,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.65,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.7,0.8636363636363636,0.7102803738317757,0.7794871794871795,12,31,2290,76,0.8850929299988353,0.9821502698215027
0.75,0.8620689655172413,0.7009345794392523,0.7731958762886598,12,32,2290,75,0.881840152677202,0.9817351598173516
0.8,0.8620689655172413,0.7009345794392523,0.7731958762886598,12,32,2290,75,0.881840152677202,0.9817351598173516
0.85,0.8620689655172413,0.7009345794392523,0.7731958762886598,12,32,2290,75,0.881840152677202,0.9817351598173516
0.9,0.872093023255814,0.7009345794392523,0.7772020725388601,11,32,2291,75,0.8839523876207813,0.9821502698215027
0.95,0.872093023255814,0.7009345794392523,0.7772020725388601,11,32,2291,75,0.8839523876207813,0.9821502698215027
