threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.8865979381443299,0.8037383177570093,0.8431372549019608,11,21,2253,86,0.9180428451680364,0.9865035849852383
0.1,0.9052631578947369,0.8037383177570093,0.8514851485148515,9,21,2255,86,0.9224386094997165,0.9873471109236609
0.15,0.9052631578947369,0.8037383177570093,0.8514851485148515,9,21,2255,86,0.9224386094997165,0.9873471109236609
0.2,0.9052631578947369,0.8037383177570093,0.8514851485148515,9,21,2255,86,0.9224386094997165,0.9873471109236609
0.25,0.9052631578947369,0.8037383177570093,0.8514851485148515,9,21,2255,86,0.9224386094997165,0.9873471109236609
0.3,0.9052631578947369,0.8037383177570093,0.8514851485148515,9,21,2255,86,0.9224386094997165,0.9873471109236609
0.35,0.9052631578947369,0.8037383177570093,0.8514851485148515,9,21,2255,86,0.9224386094997165,0.9873471109236609
0.4,0.9148936170212766,0.8037383177570093,0.8557213930348259,8,21,2256,86,0.9246675672507316,0.9877688738928722
0.45,0.9148936170212766,0.8037383177570093,0.8557213930348259,8,21,2256,86,0.9246675672507316,0.9877688738928722
0.5,0.9148936170212766,0.8037383177570093,0.8557213930348259,8,21,2256,86,0.9246675672507316,0.9877688738928722
0.55,0.9148936170212766,0.8037383177570093,0.8557213930348259,8,21,2256,86,0.9246675672507316,0.9877688738928722
0.6,0.9148936170212766,0.8037383177570093,0.8557213930348259,8,21,2256,86,0.9246675672507316,0.9877688738928722
0.65,0.9139784946236559,0.794392523364486,0.85,8,22,2256,85,0.9216974900924703,0.9873471109236609
0.7,0.9139784946236559,0.794392523364486,0.85,8,22,2256,85,0.9216974900924703,0.9873471109236609
0.75,0.9139784946236559,0.794392523364486,0.85,8,22,2256,85,0.9216974900924703,0.9873471109236609
0.8,0.9139784946236559,0.794392523364486,0.85,8,22,2256,85,0.9216974900924703,0.9873471109236609
0.85,0.9139784946236559,0.794392523364486,0.85,8,22,2256,85,0.9216974900924703,0.9873471109236609
0.9,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
0.95,0.9239130434782609,0.794392523364486,0.8542713567839196,7,22,2257,85,0.9239439548612532,0.9877688738928722
