split,bert_pr_auc,bert_roc_auc,ensemble_risk_score_pr_auc,ensemble_risk_score_roc_auc,gate_triggered,risk_score_from_bert,risk_score_from_lr_gate
validation,0.8894721013793426,0.9757070803805147,0.893017563747134,0.9758454106280192,1,1430,1
test,0.9404995407558127,0.9930994243433624,0.9478366439313588,0.9932828734931265,3,3573,3
