metric,mean,std,min,max,fold_1,fold_2,fold_3,fold_4,fold_5
fraud_precision,0.6359982124684819,0.0982553520188014,0.541095890410959,0.8021978021978022,0.541095890410959,0.6206896551724138,0.8021978021978022,0.5983606557377049,0.6176470588235294
fraud_recall,0.7649494949494949,0.049501030341776324,0.72,0.84,0.79,0.72,0.7373737373737373,0.7373737373737373,0.84
fraud_f1,0.689972406601006,0.05077471441014481,0.6422764227642277,0.7684210526315789,0.6422764227642277,0.6666666666666666,0.7684210526315789,0.6606334841628959,0.711864406779661
roc_auc,0.973787108417962,0.00596523568710379,0.9656885944155229,0.9810932323710364,0.9656885944155229,0.9762565073355418,0.9757652207983334,0.9701319871693748,0.9810932323710364
pr_auc,0.7958448689726234,0.04328774667212275,0.7513765194997035,0.8497786882223048,0.7592002712158888,0.7882584319181763,0.8497786882223048,0.7513765194997035,0.8306104340070435
balanced_accuracy,0.8715901528066994,0.02294677394591391,0.8495882631329863,0.9076952200662565,0.8791457643161382,0.8495882631329863,0.864429536614967,0.8570919799031489,0.9076952200662565
accuracy,0.9686367911461862,0.0072567170142034485,0.9602349751468595,0.9801174875734298,0.9602349751468595,0.9674649796656123,0.9801174875734298,0.9660940325497287,0.9692724807953005
