threshold,fraud_precision,fraud_recall,fraud_f1,balanced_accuracy,youden_j,objective_score
0.05,0.4063969896519285,0.8674698795180723,0.5534913516976298,0.9038750116878644,0.8077500233757289,0.5534913516976298
0.060000000000000005,0.42349457058242845,0.8614457831325302,0.5678358702845797,0.9030870785812187,0.8061741571624375,0.5678358702845797
0.07,0.4364754098360656,0.8554216867469879,0.5780189959294437,0.9016839647060702,0.8033679294121403,0.5780189959294437
0.08000000000000002,0.4418848167539267,0.8473895582329317,0.5808671713695802,0.8984723676078533,0.7969447352157066,0.5808671713695802
0.09000000000000001,0.4525862068965517,0.8433734939759037,0.5890603085553997,0.8976473754187677,0.7952947508375354,0.5890603085553997
0.1,0.461283185840708,0.8373493975903614,0.5948644793152639,0.8956290807751164,0.7912581615502328,0.5948644793152639
0.11000000000000001,0.4674887892376682,0.8373493975903614,0.6,0.8961969399460419,0.7923938798920838,0.6
0.12000000000000001,0.4748858447488584,0.8353413654618473,0.6055312954876274,0.895902747845442,0.791805495690884,0.6055312954876274
0.13,0.48364485981308414,0.8313253012048193,0.6115214180206795,0.8947465044733163,0.7894930089466325,0.6115214180206795
0.14,0.4934289127837515,0.8293172690763052,0.6187265917602996,0.8945942771654477,0.7891885543308954,0.6187265917602996
0.15000000000000002,0.4969915764139591,0.8293172690763052,0.6215199398043642,0.8948782067509105,0.7897564135018209,0.6215199398043642
0.16000000000000003,0.4987864077669903,0.8253012048192772,0.6217851739788199,0.8931067826102821,0.7862135652205642,0.6217851739788199
0.17000000000000004,0.5018315018315018,0.8253012048192772,0.6241457858769932,0.8933433905981678,0.7866867811963356,0.6241457858769932
0.18000000000000005,0.5061728395061729,0.8232931726907631,0.6269113149847095,0.8927179473145279,0.7854358946290558,0.6269113149847095
0.19,0.5144291091593476,0.8232931726907631,0.6332046332046332,0.8933331280830306,0.7866662561660611,0.6332046332046332
0.2,0.5197956577266922,0.8172690763052208,0.6354410616705699,0.890841617463608,0.781683234927216,0.6354410616705699
0.21000000000000002,0.5225806451612903,0.8132530120481928,0.6362922230950511,0.8891175149205568,0.7782350298411136,0.6362922230950511
0.22000000000000003,0.525974025974026,0.8132530120481928,0.638801261829653,0.8893541229084424,0.7787082458168848,0.638801261829653
0.23000000000000004,0.5280312907431551,0.8132530120481928,0.6403162055335968,0.8894960877011738,0.7789921754023477,0.6403162055335968
0.24000000000000005,0.531496062992126,0.8132530120481928,0.6428571428571429,0.8897326956890594,0.7794653913781189,0.6428571428571429
0.25000000000000006,0.5352862849533955,0.8072289156626506,0.6437149719775821,0.8870992202769055,0.7741984405538109,0.6437149719775821
0.26000000000000006,0.5381526104417671,0.8072289156626506,0.6457831325301204,0.887288506667214,0.7745770133344281,0.6457831325301204
0.27,0.5418918918918919,0.8052208835341366,0.6478190630048465,0.8865684201884199,0.7731368403768397,0.6478190630048465
0.28,0.5435967302452316,0.8012048192771084,0.6477272727272727,0.8847496744502142,0.7694993489004285,0.6477272727272727
0.29000000000000004,0.5438356164383562,0.7971887550200804,0.6465798045602605,0.8828362855168546,0.7656725710337091,0.6465798045602605
0.30000000000000004,0.5484764542936288,0.7951807228915663,0.6491803278688525,0.8821635206356374,0.7643270412712748,0.6491803278688525
0.31000000000000005,0.5523012552301255,0.7951807228915663,0.6518518518518519,0.882400128623523,0.764800257247046,0.6518518518518519
0.32000000000000006,0.5563380281690141,0.7931726907630522,0.6539735099337748,0.8816800421447288,0.7633600842894577,0.6539735099337748
0.33,0.5602836879432624,0.7931726907630522,0.656691604322527,0.8819166501326146,0.7638333002652291,0.656691604322527
0.34,0.5622317596566524,0.7891566265060241,0.656641604010025,0.880097904394409,0.7601958087888181,0.656641604010025
0.35000000000000003,0.563845050215208,0.7891566265060241,0.6577405857740586,0.8801925475895633,0.7603850951791267,0.6577405857740586
0.36000000000000004,0.5703918722786647,0.7891566265060241,0.6621735467565291,0.8805711203701804,0.7611422407403607,0.6621735467565291
0.37000000000000005,0.5724743777452416,0.785140562248996,0.6621507197290432,0.8787523746319748,0.7575047492639495,0.6621507197290432
0.38000000000000006,0.575,0.785140562248996,0.6638370118845501,0.8788943394247062,0.7577886788494124,0.6638370118845501
0.39000000000000007,0.5792592592592593,0.785140562248996,0.6666666666666666,0.8791309474125919,0.7582618948251838,0.6666666666666666
0.4000000000000001,0.5849624060150376,0.7811244979919679,0.6689595872742906,0.877501488064695,0.7550029761293899,0.6689595872742906
0.4100000000000001,0.5929878048780488,0.7811244979919679,0.6741767764298093,0.8779273824428891,0.7558547648857783,0.6741767764298093
0.42000000000000004,0.5944700460829493,0.7771084337349398,0.6736292428198434,0.8760613151071064,0.7521226302142128,0.6736292428198434
0.43000000000000005,0.5975232198142415,0.7751004016064257,0.6748251748251748,0.8752465854331579,0.7504931708663158,0.6748251748251748
0.44000000000000006,0.5996884735202492,0.7730923694779116,0.6754385964912281,0.8743845341616323,0.7487690683232646,0.6754385964912281
0.45000000000000007,0.6053459119496856,0.7730923694779116,0.6790123456790124,0.8746684637470952,0.7493369274941903,0.6790123456790124
0.4600000000000001,0.6075949367088608,0.7710843373493976,0.679646017699115,0.8738064124755696,0.7476128249511391,0.679646017699115
0.4700000000000001,0.6079365079365079,0.7690763052208835,0.6790780141843972,0.8728497180088897,0.7456994360177793,0.6790780141843972
0.4800000000000001,0.6096,0.7650602409638554,0.678539626001781,0.870983650673107,0.741967301346214,0.678539626001781
0.49000000000000005,0.6155088852988692,0.7650602409638554,0.6821844225604298,0.8712675802585698,0.7425351605171395,0.6821844225604298
0.5000000000000001,0.6235679214402619,0.7650602409638554,0.6871055004508566,0.8716461530391868,0.7432923060783736,0.6871055004508566
0.5100000000000001,0.625,0.7630522088353414,0.6871609403254972,0.870736780170084,0.7414735603401681,0.6871609403254972
0.5200000000000001,0.6301824212271974,0.7630522088353414,0.6902815622161671,0.8709733881579698,0.7419467763159395,0.6902815622161671
0.5300000000000001,0.6354515050167224,0.7630522088353414,0.6934306569343066,0.8712099961458555,0.742419992291711,0.6934306569343066
0.5400000000000001,0.6357504215851602,0.7570281124497992,0.6911090742438131,0.8682925911482386,0.7365851822964773,0.6911090742438131
0.5500000000000002,0.6416382252559727,0.7550200803212851,0.6937269372693727,0.8675725046694444,0.7351450093388887,0.6937269372693727
0.5600000000000002,0.6437177280550774,0.751004016064257,0.6932344763670065,0.8657064373336618,0.7314128746673236,0.6932344763670065
0.5700000000000002,0.6475694444444444,0.748995983935743,0.6945996275605214,0.8648917076597132,0.7297834153194265,0.6945996275605214
