fraud_precision,fraud_recall,fraud_f1,roc_auc,pr_auc,balanced_accuracy,accuracy,fraud_rate,threshold,n_samples,n_fraud,tn,fp,fn,tp,fold,best_epoch,sampler,n_train,n_val,n_train_groups,n_val_groups,group_overlap
0.541095890410959,0.79,0.6422764227642277,0.9656885944155229,0.7592002712158888,0.8791457643161382,0.9602349751468595,0.04518752824220515,0.5,2213.0,100.0,2046.0,67.0,21.0,79.0,1,1,smote,8851,2213,8230,2056,0
0.6206896551724138,0.72,0.6666666666666666,0.9762565073355418,0.7882584319181763,0.8495882631329863,0.9674649796656123,0.04518752824220515,0.5,2213.0,100.0,2069.0,44.0,28.0,72.0,2,1,smote,8851,2213,8229,2057,0
0.8021978021978022,0.7373737373737373,0.7684210526315789,0.9757652207983334,0.8497786882223048,0.864429536614967,0.9801174875734298,0.0447356529597831,0.5,2213.0,99.0,2096.0,18.0,26.0,73.0,3,3,smote,8851,2213,8228,2058,0
0.5983606557377049,0.7373737373737373,0.6606334841628959,0.9701319871693748,0.7513765194997035,0.8570919799031489,0.9660940325497287,0.044755877034358044,0.5,2212.0,99.0,2064.0,49.0,26.0,73.0,4,2,smote,8852,2212,8229,2057,0
0.6176470588235294,0.84,0.711864406779661,0.9810932323710364,0.8306104340070435,0.9076952200662565,0.9692724807953005,0.04518752824220515,0.5,2213.0,100.0,2061.0,52.0,16.0,84.0,5,1,smote,8851,2213,8228,2058,0
