rank_test_score,mean_test_score,std_test_score,param_tfidf__ngram_range,param_model__C,param_model__class_weight
1,0.8624202418680369,0.0037140767365460817,"(1, 2)",1.0,
2,0.8454177808529568,0.002868186278753902,"(1, 1)",1.0,
3,0.8405012178023256,0.004126109201932778,"(1, 2)",0.5,
4,0.813504551633093,0.008016094999102696,"(1, 1)",0.5,
