rank_test_score,mean_test_score,std_test_score,param_tfidf__ngram_range,param_model__C,param_model__class_weight
1,0.8850580510150715,0.006591807038539473,"(1, 2)",1.0,balanced
2,0.8748409123763518,0.006590079607177478,"(1, 2)",0.5,balanced
3,0.873067133972243,0.004105993744030056,"(1, 1)",1.0,balanced
4,0.86265433672858,0.003860836117841139,"(1, 2)",1.0,
5,0.8614336159909488,0.004231308754001866,"(1, 1)",0.5,balanced
6,0.8454177808529568,0.002868186278753902,"(1, 1)",1.0,
7,0.840768991874509,0.00424321973095118,"(1, 2)",0.5,
8,0.813504551633093,0.008016094999102696,"(1, 1)",0.5,
