epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.47875924582835644,0.2739276321559113,0.9783743475018642,0.9874902267396404,0.9898119122257053,0.9886497064579256,0.7903225806451613,0.7538461538461538,0.7716535433070866,0.8801516248825061,0.9781316224871541,0.9727785145888594,0.8422992144020217,1.7775255391600454e-05,2761.47265625,230.21791439999924,0.7716535433070866
2,0.20661003147586646,0.2444638558649569,0.9876957494407159,0.989126213592233,0.9980407523510971,0.9935634874195436,0.9532710280373832,0.7846153846153846,0.8607594936708861,0.9271614905452148,0.9871263065145005,0.9827495780081987,0.9179332651355898,1.3331441543700342e-05,2761.47265625,229.7267441999993,0.8607594936708861
3,0.08911049589917351,0.2327507957191171,0.9899328859060402,0.991819244253993,0.9976489028213166,0.9947255323305333,0.9478260869565217,0.8384615384615385,0.889795918367347,0.9422607253489401,0.9896394585739285,0.9809199421268386,0.9192419297860843,8.887627695800227e-06,2761.47265625,229.02721240000028,0.889795918367347
4,0.030222139823899125,0.22876111338791816,0.9903057419835943,0.9922057677318784,0.9976489028213166,0.9949198905822587,0.9482758620689655,0.8461538461538461,0.8943089430894309,0.9446144168358448,0.9900431481609063,0.9803713527851461,0.9176676435616247,4.443813847900114e-06,2761.47265625,229.01652209999975,0.8943089430894309
5,0.006070912112619508,0.2308955239756783,0.9906785980611484,0.9925925925925926,0.9976489028213166,0.9951143247996873,0.9487179487179487,0.8538461538461538,0.8987854251012146,0.946949874950451,0.9904451387591201,0.9793118519411624,0.9111854515397536,0.0,2761.47265625,228.5978968999998,0.8987854251012146
