epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.4940308082766018,0.4485081350430846,0.9725854070012653,0.9729032258064516,0.9991166077738516,0.9858356940509915,0.9565217391304348,0.411214953271028,0.5751633986928104,0.7804995463719009,0.9673026128180411,0.964069878801889,0.7853316266339087,1.7777777777777777e-05,2761.47265625,203.35597920000146,0.5751633986928104
2,0.28161669115516064,0.36787732163305087,0.9810206663854913,0.9830213321723987,0.9973498233215548,0.990133742600307,0.918918918918919,0.6355140186915887,0.7513812154696132,0.8707574790349601,0.9793591663021273,0.9804683629999009,0.849198924926885,1.3333333333333333e-05,2761.47265625,202.83910860000105,0.7513812154696132
3,0.11310024771090461,0.5236553850697218,0.9797553774778575,0.9800693240901213,0.9991166077738516,0.989501312335958,0.9682539682539683,0.5700934579439252,0.7176470588235294,0.8535741855797436,0.9772329002204667,0.985357980251643,0.8404785315894341,8.888888888888888e-06,2761.47265625,201.98536969999986,0.7513812154696132
4,0.03899180595608361,0.44402608322809783,0.9814424293547026,0.9830287206266318,0.997791519434629,0.9903551074090311,0.9315068493150684,0.6355140186915887,0.7555555555555555,0.8729553314822933,0.9797589234999962,0.9818429873518049,0.8401468031895795,4.444444444444444e-06,2761.47265625,202.21816490000128,0.7555555555555555
5,0.0054409690171053635,0.5764645374787897,0.9814424293547026,0.9826086956521739,0.9982332155477032,0.9903593339176161,0.9436619718309859,0.6261682242990654,0.7528089887640449,0.8715841613408305,0.9796390104543381,0.978889402595687,0.8178742730331383,0.0,2761.47265625,201.64813800000047,0.7555555555555555
