split,model,pr_auc,roc_auc,fraud_precision,fraud_recall,fraud_f1,tn,fp,fn,tp
validation,logistic_regression_baseline,0.8108188060736261,0.9560409167464747,0.7878787878787878,0.7289719626168224,0.7572815533980582,2243,21,29,78
validation,bert_class_weighted,0.8278583289556997,0.9641379908193257,0.8571428571428571,0.7850467289719626,0.8195121951219512,2250,14,23,84
validation,ensemble_lr_bert_class_weighted,0.8508221203189482,0.9579810772431558,0.9318181818181818,0.7663551401869159,0.841025641025641,2258,6,25,82
test,logistic_regression_baseline,0.8734585149084394,0.9851993975779332,0.7641509433962265,0.7570093457943925,0.7605633802816901,2240,25,26,81
test,bert_class_weighted,0.794218431050445,0.9684017247426295,0.8301886792452831,0.822429906542056,0.8262910798122066,2247,18,19,88
test,ensemble_lr_bert_class_weighted,0.905817110133598,0.9905304202512842,0.8817204301075269,0.7663551401869159,0.82,2254,11,25,82
