low_threshold,high_threshold,non_low_fraud_recall,low_rows,low_fraud,low_fraud_rate,suspicious_rows,suspicious_fraud,suspicious_fraud_rate,suspicious_review_rate,high_rows,high_fraud,high_fraud_rate
0.2263406515095725,0.62,0.8785046728971962,2193,13,0.005927952576379389,90,12,0.13333333333333333,0.03795866722901729,88,82,0.9318181818181818
0.1567,0.62,0.9065420560747663,2077,10,0.004814636494944632,206,15,0.07281553398058252,0.08688317165752847,88,82,0.9318181818181818
0.1213720727136649,0.62,0.9252336448598131,1959,8,0.00408371618172537,324,17,0.05246913580246913,0.13665120202446226,88,82,0.9318181818181818
0.0871228025323745,0.62,0.9532710280373832,1777,5,0.0028137310073157004,506,20,0.039525691699604744,0.21341206242091945,88,82,0.9318181818181818
