epoch,train_loss,val_loss,accuracy,legitimate_precision,legitimate_recall,legitimate_f1,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,learning_rate,gpu_memory_mb,epoch_duration_sec,best_val_fraud_f1
1,0.492757915669744,0.2989874505062881,0.9675242513707296,0.9870824053452116,0.9787985865724381,0.9829230428032824,0.6190476190476191,0.7289719626168224,0.6695278969957081,0.8262254698994953,0.9687799468094356,0.965155543079819,0.7583142912472856,1.7777777777777777e-05,2761.47265625,207.73219370000152,0.6695278969957081
2,0.24212611799376157,0.3716806067621035,0.9835512442007591,0.9877246821569488,0.9951413427561837,0.9914191419141914,0.8777777777777778,0.7383177570093458,0.8020304568527918,0.8967247993834917,0.9828722885605137,0.9728666490538621,0.8370876926705657,1.3333333333333333e-05,2761.47265625,207.22727900000245,0.8020304568527918
3,0.11145806449849523,0.425014789275893,0.9835512442007591,0.9877246821569488,0.9951413427561837,0.9914191419141914,0.8777777777777778,0.7383177570093458,0.8020304568527918,0.8967247993834917,0.9828722885605137,0.9735498332287573,0.8168525161307296,8.888888888888888e-06,2761.47265625,206.17380169999888,0.8020304568527918
4,0.03571957433785092,0.47685927598327577,0.9848165331083931,0.9877408056042032,0.9964664310954063,0.9920844327176781,0.9080459770114943,0.7383177570093458,0.8144329896907216,0.9032587112041999,0.9840672651074358,0.959793269707077,0.8178229422490012,4.444444444444444e-06,2761.47265625,205.94134240000494,0.8144329896907216
5,0.01906880675958462,0.5011936735882168,0.986081822016027,0.9886114761279019,0.9969081272084805,0.9927424675610292,0.9204545454545454,0.7570093457943925,0.8307692307692308,0.9117558491651301,0.9854328360398474,0.9636385026914567,0.7953855694397509,0.0,2761.47265625,205.8253762000022,0.8307692307692308
