accuracy,precision,recall,f1,split,decision_threshold,high_threshold_risk_mapping
0.9832214765100671,0.8701298701298701,0.7701149425287356,0.8170731707317073,Validation,0.67,0.93
0.985738255033557,0.8388888888888889,0.8728323699421965,0.8555240793201133,Test,0.67,0.93
