model,condition,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,fraud_precision_mean,fraud_precision_std,fraud_recall_mean,fraud_recall_std,fraud_f1_mean,fraud_f1_std,macro_f1_mean,macro_f1_std
Logistic Regression,A,0.9071159349970044,0.02834977855176585,0.984290450928382,0.0079886526483423,0.928454944389449,0.033440656240393406,0.7776923076923077,0.04830458915396481,0.8451701030437204,0.027333827208450283,0.918985291834257,0.014218657257353084
Logistic Regression,B,0.8855745419899591,0.02280458076582957,0.9833500443564193,0.0048877788239245126,0.8885729821434156,0.05792356753515064,0.7551401869158878,0.056899439535605605,0.8136638695835247,0.029654110394015408,0.9027728447460017,0.015412110681614796
Logistic Regression,C,0.8730584677291224,0.030801762934930216,0.9818047725681096,0.006048552276826588,0.8527233374184593,0.09646469394197985,0.7548404161523541,0.04752145953276183,0.7969678087636798,0.04487665318986688,0.8939054428057126,0.02366819091538373
Linear SVM,A,0.9275797673880586,0.02215551439879904,0.9845689655172414,0.008409512034634355,0.9411451976515094,0.028257028959342966,0.8392307692307692,0.052228446759286014,0.8860147967553417,0.02711392411860318,0.9402821947166092,0.014124311477285064
Linear SVM,B,0.9142115068550479,0.021893937472197946,0.9848375317199975,0.004781947228463179,0.9153088324453078,0.04279359966879899,0.7915887850467289,0.0550353651042339,0.846793342648003,0.02334271495478568,0.9200409441348159,0.012089636726273605
Linear SVM,C,0.8997432814149204,0.02275746568955495,0.980875257128349,0.008648335069258845,0.8839583386745252,0.044239697065393976,0.8129165931934403,0.026373329379878067,0.8464431075936188,0.028249531174836584,0.9197354280076635,0.014806488114764508
