condition,model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,fraud_precision_mean,fraud_precision_std,fraud_recall_mean,fraud_recall_std,fraud_f1_mean,fraud_f1_std,macro_f1_mean,macro_f1_std
A,logistic_regression,0.9071159349970044,0.02834977855176585,0.984290450928382,0.0079886526483423,0.9862416107382549,0.0021630651905970247,0.928454944389449,0.033440656240393406,0.7776923076923077,0.04830458915396481,0.8451701030437204,0.027333827208450283,0.918985291834257,0.014218657257353084
A,linear_svm,0.9275797673880584,0.022155514398799023,0.9845689655172414,0.00840951203463434,0.9895973154362416,0.002198481185693642,0.9411451976515096,0.028257028959342966,0.8392307692307692,0.052228446759286014,0.8860147967553417,0.027113924118603177,0.9402821947166091,0.014124311477285083
