condition,model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,fraud_precision_mean,fraud_precision_std,fraud_recall_mean,fraud_recall_std,fraud_f1_mean,fraud_f1_std,macro_f1_mean,macro_f1_std
A,logistic_regression,0.9071159349970044,0.0283497785517658,0.984290450928382,0.0079886526483423,0.9862416107382548,0.002163065190597,0.928454944389449,0.0334406562403934,0.7776923076923077,0.0483045891539648,0.8451701030437204,0.0273338272084502,0.918985291834257,0.014218657257353
A,linear_svm,0.9275797673880584,0.022155514398799,0.9845689655172414,0.0084095120346343,0.9895973154362416,0.0021984811856936,0.9411451976515096,0.0282570289593429,0.8392307692307692,0.052228446759286,0.8860147967553417,0.0271139241186031,0.9402821947166092,0.014124311477285
B,logistic_regression,0.8855745419899591,0.0228045807658295,0.9833500443564192,0.0048877788239245,0.9844435075885328,0.0024132451767878,0.8885729821434156,0.0579235675351506,0.7551401869158878,0.0568994395356056,0.8136638695835247,0.0296541103940154,0.9027728447460016,0.0154121106816147
B,linear_svm,0.914211506855048,0.0218939374721979,0.9848375317199975,0.0047819472284631,0.987141652613828,0.001700916025423,0.9153088324453078,0.0427935996687989,0.7915887850467289,0.0550353651042339,0.846793342648003,0.0233427149547856,0.920040944134816,0.0120896367262736
C,logistic_regression,0.8730584677291224,0.0308017629349302,0.9818047725681096,0.0060485522768265,0.98248057106774,0.0048037529252594,0.8527233374184593,0.0964646939419798,0.7548404161523541,0.0475214595327618,0.7969678087636798,0.0448766531898668,0.8939054428057126,0.0236681909153837
C,linear_svm,0.8997432814149204,0.0227574656895549,0.980875257128349,0.0086483350692588,0.9866615649056014,0.0026243040375647,0.8839583386745252,0.0442396970653939,0.8129165931934403,0.026373329379878,0.8464431075936188,0.0282495311748365,0.9197354280076636,0.0148064881147645
