condition,model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,fraud_precision_mean,fraud_precision_std,fraud_recall_mean,fraud_recall_std,fraud_f1_mean,fraud_f1_std,macro_f1_mean,macro_f1_std,pr_auc_change_from_a,roc_auc_change_from_a,accuracy_change_from_a,fraud_precision_change_from_a,fraud_recall_change_from_a,fraud_f1_change_from_a,macro_f1_change_from_a
A,logistic_regression,0.9071159349970044,0.0283497785517658,0.984290450928382,0.0079886526483423,0.9862416107382548,0.002163065190597,0.928454944389449,0.0334406562403934,0.7776923076923077,0.0483045891539648,0.8451701030437204,0.0273338272084502,0.918985291834257,0.014218657257353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,linear_svm,0.9275797673880584,0.022155514398799,0.9845689655172414,0.0084095120346343,0.9895973154362416,0.0021984811856936,0.9411451976515096,0.0282570289593429,0.8392307692307692,0.052228446759286,0.8860147967553417,0.0271139241186031,0.9402821947166092,0.014124311477285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,logistic_regression,0.8855745419899591,0.02280458076582957,0.9833500443564193,0.0048877788239245126,0.9844435075885329,0.0024132451767878565,0.8885729821434156,0.05792356753515064,0.7551401869158878,0.056899439535605605,0.8136638695835247,0.029654110394015408,0.9027728447460017,0.015412110681614796,-0.021541393007045273,-0.0009404065719627042,-0.0017981031497218414,-0.03988196224603335,-0.02255212077641988,-0.031506233460195765,-0.01621244708825531
B,linear_svm,0.9142115068550479,0.021893937472197946,0.9848375317199975,0.004781947228463179,0.9871416526138279,0.0017009160254230237,0.9153088324453078,0.04279359966879899,0.7915887850467289,0.0550353651042339,0.846793342648003,0.02334271495478568,0.9200409441348159,0.012089636726273605,-0.013368260533010434,0.0002685662027561708,-0.002455662822413718,-0.025836365206201806,-0.04764198418404031,-0.03922145410733868,-0.02024125058179338
