weight_classic,weight_bert,threshold,pr_auc,roc_auc,fraud_precision,fraud_recall,fraud_f1,confusion_matrix
1.0,0.0,0.63,0.8108188060736261,0.9560409167464747,0.813953488372093,0.6542056074766355,0.7253886010362695,"{'tn': 2248, 'fp': 16, 'fn': 37, 'tp': 70}"
0.6000000000000001,0.3999999999999999,0.81,0.8508221203189482,0.9579810772431558,0.96875,0.5794392523364486,0.7251461988304093,"{'tn': 2262, 'fp': 2, 'fn': 45, 'tp': 62}"
0.8500000000000001,0.1499999999999999,0.75,0.8422623904000773,0.957692117169182,0.96875,0.5794392523364486,0.7251461988304093,"{'tn': 2262, 'fp': 2, 'fn': 45, 'tp': 62}"
0.9,0.09999999999999998,0.74,0.8342565009654476,0.9573247250751296,0.96875,0.5794392523364486,0.7251461988304093,"{'tn': 2262, 'fp': 2, 'fn': 45, 'tp': 62}"
0.9,0.09999999999999998,0.75,0.8342565009654476,0.9573247250751296,0.96875,0.5794392523364486,0.7251461988304093,"{'tn': 2262, 'fp': 2, 'fn': 45, 'tp': 62}"
0.25,0.75,0.12,0.8503486043881655,0.9580017172484395,0.6541353383458647,0.8130841121495327,0.725,"{'tn': 2218, 'fp': 46, 'fn': 20, 'tp': 87}"
1.0,0.0,0.61,0.8108188060736261,0.9560409167464747,0.797752808988764,0.6635514018691588,0.7244897959183674,"{'tn': 2246, 'fp': 18, 'fn': 36, 'tp': 71}"
0.6000000000000001,0.3999999999999999,0.8,0.8508221203189482,0.9579810772431558,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.5,0.5,0.8300000000000001,0.8507490041150283,0.957960437237872,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.45,0.55,0.85,0.8506656257701694,0.957960437237872,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.55,0.44999999999999996,0.8200000000000001,0.8506623873399228,0.9579604372378719,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.30000000000000004,0.7,0.9,0.8503110234999359,0.9579728212410423,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.15000000000000002,0.85,0.9500000000000001,0.8498641632839652,0.9580718932664047,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.8500000000000001,0.1499999999999999,0.73,0.8422623904000773,0.957692117169182,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.9500000000000001,0.04999999999999993,0.72,0.8239428262914603,0.9567880849377497,0.9402985074626866,0.5887850467289719,0.7241379310344828,"{'tn': 2260, 'fp': 4, 'fn': 44, 'tp': 63}"
0.65,0.35,0.29000000000000004,0.8511640057050309,0.9580017172484396,0.6402877697841727,0.8317757009345794,0.7235772357723578,"{'tn': 2214, 'fp': 50, 'fn': 18, 'tp': 89}"
0.75,0.25,0.33,0.8501362680608977,0.9579645652389287,0.6402877697841727,0.8317757009345794,0.7235772357723578,"{'tn': 2214, 'fp': 50, 'fn': 18, 'tp': 89}"
0.9,0.09999999999999998,0.7100000000000001,0.8342565009654476,0.9573247250751296,0.9142857142857143,0.5981308411214953,0.7231638418079096,"{'tn': 2258, 'fp': 6, 'fn': 43, 'tp': 64}"
1.0,0.0,0.64,0.8108188060736261,0.9560409167464747,0.8214285714285714,0.6448598130841121,0.7225130890052356,"{'tn': 2249, 'fp': 15, 'fn': 38, 'tp': 69}"
0.65,0.35,0.81,0.8511640057050309,0.9580017172484396,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.6000000000000001,0.3999999999999999,0.8200000000000001,0.8508221203189482,0.9579810772431558,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.5,0.5,0.85,0.8507490041150283,0.957960437237872,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.7000000000000001,0.29999999999999993,0.8,0.8507393708834945,0.9579810772431558,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.4,0.6,0.88,0.8503840688886397,0.9579604372378719,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.30000000000000004,0.7,0.91,0.8503110234999359,0.9579728212410423,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.2,0.8,0.9400000000000001,0.8501611749032782,0.9580182292526667,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.75,0.25,0.79,0.8501362680608977,0.9579645652389287,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.1,0.9,0.97,0.8493457001984412,0.9581916052970508,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
0.8,0.19999999999999996,0.77,0.8463164787841713,0.9578283412040554,0.9838709677419355,0.5700934579439252,0.7218934911242604,"{'tn': 2263, 'fp': 1, 'fn': 46, 'tp': 61}"
1.0,0.0,0.45,0.8108188060736261,0.9560409167464747,0.6666666666666666,0.7850467289719626,0.721030042918455,"{'tn': 2222, 'fp': 42, 'fn': 23, 'tp': 84}"
0.5,0.5,0.8400000000000001,0.8507490041150283,0.957960437237872,0.9538461538461539,0.5794392523364486,0.7209302325581395,"{'tn': 2261, 'fp': 3, 'fn': 45, 'tp': 62}"
0.25,0.75,0.92,0.8503486043881655,0.9580017172484395,0.9538461538461539,0.5794392523364486,0.7209302325581395,"{'tn': 2261, 'fp': 3, 'fn': 45, 'tp': 62}"
0.7000000000000001,0.29999999999999993,0.31,0.8507393708834945,0.9579810772431558,0.6357142857142857,0.8317757009345794,0.7206477732793523,"{'tn': 2213, 'fp': 51, 'fn': 18, 'tp': 89}"
0.4,0.6,0.18000000000000002,0.8503840688886397,0.9579604372378719,0.6357142857142857,0.8317757009345794,0.7206477732793523,"{'tn': 2213, 'fp': 51, 'fn': 18, 'tp': 89}"
0.8,0.19999999999999996,0.35000000000000003,0.8463164787841713,0.9578283412040554,0.6357142857142857,0.8317757009345794,0.7206477732793523,"{'tn': 2213, 'fp': 51, 'fn': 18, 'tp': 89}"
0.9500000000000001,0.04999999999999993,0.42000000000000004,0.8239428262914603,0.9567880849377497,0.6589147286821705,0.794392523364486,0.7203389830508474,"{'tn': 2220, 'fp': 44, 'fn': 22, 'tp': 85}"
1.0,0.0,0.7000000000000001,0.8108188060736261,0.9560409167464747,0.9264705882352942,0.5887850467289719,0.72,"{'tn': 2259, 'fp': 5, 'fn': 44, 'tp': 63}"
0.8500000000000001,0.1499999999999999,0.76,0.8422623904000773,0.957692117169182,0.9682539682539683,0.5700934579439252,0.7176470588235294,"{'tn': 2262, 'fp': 2, 'fn': 46, 'tp': 61}"
0.9500000000000001,0.04999999999999993,0.73,0.8239428262914603,0.9567880849377497,0.9393939393939394,0.5794392523364486,0.7167630057803468,"{'tn': 2260, 'fp': 4, 'fn': 45, 'tp': 62}"
1.0,0.0,0.7100000000000001,0.8108188060736261,0.9560409167464747,0.9393939393939394,0.5794392523364486,0.7167630057803468,"{'tn': 2260, 'fp': 4, 'fn': 45, 'tp': 62}"
1.0,0.0,0.72,0.8108188060736261,0.9560409167464747,0.9393939393939394,0.5794392523364486,0.7167630057803468,"{'tn': 2260, 'fp': 4, 'fn': 45, 'tp': 62}"
1.0,0.0,0.65,0.8108188060736261,0.9560409167464747,0.8375,0.6261682242990654,0.7165775401069518,"{'tn': 2251, 'fp': 13, 'fn': 40, 'tp': 67}"
1.0,0.0,0.6900000000000001,0.8108188060736261,0.9560409167464747,0.8888888888888888,0.5981308411214953,0.7150837988826816,"{'tn': 2256, 'fp': 8, 'fn': 43, 'tp': 64}"
1.0,0.0,0.44,0.8108188060736261,0.9560409167464747,0.65625,0.7850467289719626,0.7148936170212766,"{'tn': 2220, 'fp': 44, 'fn': 23, 'tp': 84}"
0.5,0.5,0.22,0.8507490041150283,0.957960437237872,0.6267605633802817,0.8317757009345794,0.714859437751004,"{'tn': 2211, 'fp': 53, 'fn': 18, 'tp': 89}"
0.45,0.55,0.2,0.8506656257701694,0.957960437237872,0.6267605633802817,0.8317757009345794,0.714859437751004,"{'tn': 2211, 'fp': 53, 'fn': 18, 'tp': 89}"
0.2,0.8,0.09,0.8501611749032782,0.9580182292526667,0.6267605633802817,0.8317757009345794,0.714859437751004,"{'tn': 2211, 'fp': 53, 'fn': 18, 'tp': 89}"
0.6000000000000001,0.3999999999999999,0.8300000000000001,0.8508221203189482,0.9579810772431558,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.5,0.5,0.86,0.8507490041150283,0.957960437237872,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.45,0.55,0.87,0.8506656257701694,0.957960437237872,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.55,0.44999999999999996,0.8400000000000001,0.8506623873399228,0.9579604372378719,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.25,0.75,0.93,0.8503486043881655,0.9580017172484395,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.75,0.25,0.8,0.8501362680608977,0.9579645652389287,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.35000000000000003,0.6499999999999999,0.9,0.8500817158700859,0.9579563092368152,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.8,0.19999999999999996,0.78,0.8463164787841713,0.9578283412040554,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.8500000000000001,0.1499999999999999,0.77,0.8422623904000773,0.957692117169182,0.9836065573770492,0.5607476635514018,0.7142857142857143,"{'tn': 2263, 'fp': 1, 'fn': 47, 'tp': 60}"
0.55,0.44999999999999996,0.24000000000000002,0.8506623873399228,0.9579604372378719,0.6223776223776224,0.8317757009345794,0.712,"{'tn': 2210, 'fp': 54, 'fn': 18, 'tp': 89}"
0.9,0.09999999999999998,0.39,0.8342565009654476,0.9573247250751296,0.6223776223776224,0.8317757009345794,0.712,"{'tn': 2210, 'fp': 54, 'fn': 18, 'tp': 89}"
1.0,0.0,0.67,0.8108188060736261,0.9560409167464747,0.8552631578947368,0.6074766355140186,0.7103825136612022,"{'tn': 2253, 'fp': 11, 'fn': 42, 'tp': 65}"
0.9,0.09999999999999998,0.76,0.8342565009654476,0.9573247250751296,0.967741935483871,0.5607476635514018,0.7100591715976331,"{'tn': 2262, 'fp': 2, 'fn': 47, 'tp': 60}"
0.9500000000000001,0.04999999999999993,0.74,0.8239428262914603,0.9567880849377497,0.9384615384615385,0.5700934579439252,0.7093023255813954,"{'tn': 2260, 'fp': 4, 'fn': 46, 'tp': 61}"
1.0,0.0,0.73,0.8108188060736261,0.9560409167464747,0.9384615384615385,0.5700934579439252,0.7093023255813954,"{'tn': 2260, 'fp': 4, 'fn': 46, 'tp': 61}"
0.9500000000000001,0.04999999999999993,0.41000000000000003,0.8239428262914603,0.9567880849377497,0.6258992805755396,0.8130841121495327,0.7073170731707317,"{'tn': 2212, 'fp': 52, 'fn': 20, 'tp': 87}"
1.0,0.0,0.68,0.8108188060736261,0.9560409167464747,0.8648648648648649,0.5981308411214953,0.7071823204419889,"{'tn': 2254, 'fp': 10, 'fn': 43, 'tp': 64}"
0.65,0.35,0.8200000000000001,0.8511640057050309,0.9580017172484396,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.6000000000000001,0.3999999999999999,0.8400000000000001,0.8508221203189482,0.9579810772431558,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.7000000000000001,0.29999999999999993,0.81,0.8507393708834945,0.9579810772431558,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.45,0.55,0.88,0.8506656257701694,0.957960437237872,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.55,0.44999999999999996,0.85,0.8506623873399228,0.9579604372378719,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.4,0.6,0.89,0.8503840688886397,0.9579604372378719,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.30000000000000004,0.7,0.92,0.8503110234999359,0.9579728212410423,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.15000000000000002,0.85,0.9600000000000001,0.8498641632839652,0.9580718932664047,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
0.8,0.19999999999999996,0.79,0.8463164787841713,0.9578283412040554,0.9833333333333333,0.5514018691588785,0.7065868263473054,"{'tn': 2263, 'fp': 1, 'fn': 48, 'tp': 59}"
1.0,0.0,0.66,0.8108188060736261,0.9560409167464747,0.8441558441558441,0.6074766355140186,0.7065217391304348,"{'tn': 2252, 'fp': 12, 'fn': 42, 'tp': 65}"
0.9500000000000001,0.04999999999999993,0.4,0.8239428262914603,0.9567880849377497,0.6153846153846154,0.822429906542056,0.704,"{'tn': 2209, 'fp': 55, 'fn': 19, 'tp': 88}"
0.25,0.75,0.11,0.8503486043881655,0.9580017172484395,0.6095890410958904,0.8317757009345794,0.7035573122529645,"{'tn': 2207, 'fp': 57, 'fn': 18, 'tp': 89}"
0.9500000000000001,0.04999999999999993,0.75,0.8239428262914603,0.9567880849377497,0.9375,0.5607476635514018,0.7017543859649122,"{'tn': 2260, 'fp': 4, 'fn': 47, 'tp': 60}"
0.8500000000000001,0.1499999999999999,0.36000000000000004,0.8422623904000773,0.957692117169182,0.6054421768707483,0.8317757009345794,0.7007874015748031,"{'tn': 2206, 'fp': 58, 'fn': 18, 'tp': 89}"
0.9,0.09999999999999998,0.38,0.8342565009654476,0.9573247250751296,0.6054421768707483,0.8317757009345794,0.7007874015748031,"{'tn': 2206, 'fp': 58, 'fn': 18, 'tp': 89}"
0.65,0.35,0.8300000000000001,0.8511640057050309,0.9580017172484396,0.9830508474576272,0.5420560747663551,0.6987951807228916,"{'tn': 2263, 'fp': 1, 'fn': 49, 'tp': 58}"
0.8500000000000001,0.1499999999999999,0.78,0.8422623904000773,0.957692117169182,0.9830508474576272,0.5420560747663551,0.6987951807228916,"{'tn': 2263, 'fp': 1, 'fn': 49, 'tp': 58}"
0.6000000000000001,0.3999999999999999,0.26,0.8508221203189482,0.9579810772431558,0.6013513513513513,0.8317757009345794,0.6980392156862745,"{'tn': 2205, 'fp': 59, 'fn': 18, 'tp': 89}"
0.9500000000000001,0.04999999999999993,0.39,0.8239428262914603,0.9567880849377497,0.6013513513513513,0.8317757009345794,0.6980392156862745,"{'tn': 2205, 'fp': 59, 'fn': 18, 'tp': 89}"
0.65,0.35,0.28,0.8511640057050309,0.9580017172484396,0.5973154362416108,0.8317757009345794,0.6953125,"{'tn': 2204, 'fp': 60, 'fn': 18, 'tp': 89}"
0.7000000000000001,0.29999999999999993,0.3,0.8507393708834945,0.9579810772431558,0.5973154362416108,0.8317757009345794,0.6953125,"{'tn': 2204, 'fp': 60, 'fn': 18, 'tp': 89}"
0.75,0.25,0.32,0.8501362680608977,0.9579645652389287,0.5973154362416108,0.8317757009345794,0.6953125,"{'tn': 2204, 'fp': 60, 'fn': 18, 'tp': 89}"
0.8,0.19999999999999996,0.34,0.8463164787841713,0.9578283412040554,0.5973154362416108,0.8317757009345794,0.6953125,"{'tn': 2204, 'fp': 60, 'fn': 18, 'tp': 89}"
1.0,0.0,0.74,0.8108188060736261,0.9560409167464747,0.9365079365079365,0.5514018691588785,0.6941176470588235,"{'tn': 2260, 'fp': 4, 'fn': 48, 'tp': 59}"
1.0,0.0,0.43,0.8108188060736261,0.9560409167464747,0.6176470588235294,0.7850467289719626,0.691358024691358,"{'tn': 2212, 'fp': 52, 'fn': 23, 'tp': 84}"
0.5,0.5,0.87,0.8507490041150283,0.957960437237872,0.9827586206896551,0.5327102803738317,0.6909090909090909,"{'tn': 2263, 'fp': 1, 'fn': 50, 'tp': 57}"
0.75,0.25,0.81,0.8501362680608977,0.9579645652389287,0.9827586206896551,0.5327102803738317,0.6909090909090909,"{'tn': 2263, 'fp': 1, 'fn': 50, 'tp': 57}"
0.8,0.19999999999999996,0.8,0.8463164787841713,0.9578283412040554,0.9827586206896551,0.5327102803738317,0.6909090909090909,"{'tn': 2263, 'fp': 1, 'fn': 50, 'tp': 57}"
0.8500000000000001,0.1499999999999999,0.79,0.8422623904000773,0.957692117169182,0.9827586206896551,0.5327102803738317,0.6909090909090909,"{'tn': 2263, 'fp': 1, 'fn': 50, 'tp': 57}"
0.55,0.44999999999999996,0.23,0.8506623873399228,0.9579604372378719,0.5894039735099338,0.8317757009345794,0.689922480620155,"{'tn': 2202, 'fp': 62, 'fn': 18, 'tp': 89}"
0.30000000000000004,0.7,0.13,0.8503110234999359,0.9579728212410423,0.5894039735099338,0.8317757009345794,0.689922480620155,"{'tn': 2202, 'fp': 62, 'fn': 18, 'tp': 89}"
0.35000000000000003,0.6499999999999999,0.15000000000000002,0.8500817158700859,0.9579563092368152,0.5894039735099338,0.8317757009345794,0.689922480620155,"{'tn': 2202, 'fp': 62, 'fn': 18, 'tp': 89}"
0.8500000000000001,0.1499999999999999,0.35000000000000003,0.8422623904000773,0.957692117169182,0.5894039735099338,0.8317757009345794,0.689922480620155,"{'tn': 2202, 'fp': 62, 'fn': 18, 'tp': 89}"
0.9,0.09999999999999998,0.37,0.8342565009654476,0.9573247250751296,0.5894039735099338,0.8317757009345794,0.689922480620155,"{'tn': 2202, 'fp': 62, 'fn': 18, 'tp': 89}"
