rank_test_score,mean_test_score,std_test_score,param_tfidf__ngram_range,param_model__C,param_model__class_weight,mean_fit_time
1,0.879317442625282,0.009977904541197251,"(1, 2)",1.0,,2.8452160358428955
2,0.8785459349180242,0.010502563948484008,"(1, 2)",0.5,,2.458688259124756
3,0.8761350470388422,0.01184630442901526,"(1, 2)",1.0,balanced,3.019424835840861
4,0.8737440612129252,0.011918609168468547,"(1, 2)",0.5,balanced,2.7353621323903403
5,0.8548552250346617,0.007946807271615274,"(1, 1)",1.0,,0.8441752592722574
6,0.8525178460893762,0.008416071837620453,"(1, 1)",1.0,balanced,0.9801900386810303
7,0.8524247992209659,0.009223857453897586,"(1, 1)",0.5,,0.7769458293914795
8,0.8511641502534816,0.007917257234847819,"(1, 1)",0.5,balanced,0.9170308907826742
