model,macro_precision,macro_recall,macro_f1,fraud_precision,fraud_recall,fraud_f1,accuracy,roc_auc,pr_auc,tn,fp,fn,tp
Paper LR,0.98,0.70,0.78,0.9857,0.3988,0.5679,0.9700,0.9815,,3402,1,104,69
Improved LR,0.9087,0.9288,0.9185,0.8242,0.8671,0.8451,0.9846,0.9911,0.9223,3371,32,23,150
