rank_test_score,mean_test_score,std_test_score,param_tfidf__ngram_range,param_model__C,param_model__class_weight
1,0.8867476850954407,0.016596163177624985,"(1, 2)",1.0,balanced
2,0.875144409530085,0.019227250380529012,"(1, 2)",0.5,balanced
3,0.8729318052681226,0.018334335774449304,"(1, 1)",1.0,balanced
4,0.8604186806632091,0.024980437181174455,"(1, 2)",1.0,
5,0.8583872833967562,0.02123643802215454,"(1, 1)",0.5,balanced
6,0.8413234081407577,0.02863291702992882,"(1, 1)",1.0,
7,0.8388144149934171,0.028457904450117744,"(1, 2)",0.5,
8,0.809029395968977,0.03540844460092824,"(1, 1)",0.5,
